,Carrier Name,2-Char IATA,3-Char ICAO
246,Capiteq Limited dba AIRNORTH,TL,ANO
247,Cargo B Airlines,BB,CBB
248,Cargoitalia S.p.A.,2G,
249,Cargojet Airways Ltd.,W8,CJT
250,Cargolux Airlines International S.A.,CV,CLX
251,Carib Aviation Limited,3Q,
252,Caribbean Airlines Limited,BW,BWA
253,Caspian Airlines Service Company Ltd.,RV,CPN
254,Catair Lineas Aereas S.A.(Clickair S.A.),XG,
255,Cathay Pacific Airways Ltd.,CX,CPA
256,Cayman Airways Limited,KX,CAY
257,Central Mountain Air Ltd.,9M,GLR
258,"Centurion Air Cargo, Inc.",WE,CWC
259,Cetrafrrique Air Express (C.A.E.),6C,
260,Champlain Enterprises Inc.,C5,
261,Chautauqua Airlines Inc.,RP,CHQ
262,China Airlines,CI,CAL
263,China Cargo Airlines Ltd.,CK,
264,China Eastern Airlines,MU,CES
265,China Postal Airlines Ltd.,8Y,
266,China Southern Airlines,CZ,CSN
267,China United Airlines,KN,CUA
268,China West Air Co. Ltd.,PN,
269,Chongqing Airlines Co. Ltd,OQ,
270,"Cielos del Peru, S.A.",A2,CIU
271,Cielos del Sur S.A.,AU,AUT
272,Cimber Air A.S.,QI,CIM
273,City Airline AB,CF,SDR
274,Cityjet,WX,BCY
275,Cityline Hungary Kft,ZM,
276,Click Airways,C4,CGK
277,Closed Joint Stock Company,C7,UZS
278,Colgan Air,9L,
279,Comair Ltd.,MN,CAW
280,"Comair, Inc.",OH,COM
281,Compagnie Aerienne Corse,XK,CCM
282,Compagnie Aerienne du Mali S.A.,I5,
283,Compania Boliviana de Transporte Aereo,5L,
284,Compania Mexicana de Aviacion,MX,MXA
285,"Compania Panamena de Aviacion, S.A.",CM,CMP
286,Compass Airlines Inc.,CP,
287,Concesionaria Vuela Compania De Aviacion,Y4,VOI
288,Condor Flugdienst GmbH,DE,CFG
289,Contact-Air Flugdienst GmbH & Co. KG,C3,KIS
290,"Continental Airlines, Inc.",CO,COA
291,"Continental Micronesia, Inc.",CS,CMI
292,"Corporate Air Charters, Inc.",7V,
293,Cosmic Air Pvt. Ltd.,F5,
294,Coyne Airways Ltd,7C,COY
295,Croatia Airlines,OU,CTN
296,Cubana de Aviacion S.A.,CU,CUB
