id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,time_signature
0jM2Q3omqi9XF52iBm7dFA,0.11699999999999999,0.7829999999999999,0.688,1.15e-05,1,0.545,-6.405,1,0.0707,125.92399999999999,0.797,4
4bfGJtFwYdDQ1KsXUWLEqQ,0.41700000000000004,0.518,0.6509999999999999,0.0,5,0.109,-6.132999999999999,1,0.0276,79.31,0.507,3
1rkT8caKhdEFENiqips7dy,0.161,0.8809999999999999,0.597,0.0036,4,0.0324,-8.794,1,0.0605,116.64200000000001,0.9540000000000001,4
704ko7ZDPIYq51VxFT7TJU,0.782,0.365,0.552,0.0,11,0.161,-7.8229999999999995,1,0.0456,151.17,0.514,4
4JzGhaOwMrpu7f4KPlZyeC,0.622,0.5770000000000001,0.32,0.0,8,0.462,-13.962,1,0.0307,98.71799999999999,0.732,4
4QmqszFIOIrOziuexwILNd,0.7170000000000001,0.41700000000000004,0.41,0.0,4,0.256,-9.794,1,0.0418,104.869,0.392,4
0MCH9gCM4CphdKB6NWivyQ,0.7909999999999999,0.521,0.506,0.0,7,0.124,-8.906,0,0.0379,79.87899999999999,0.63,3
2UpOXW31YTvGw7BOzNYD2E,0.6,0.604,0.499,3.9e-05,0,0.599,-10.682,0,0.0494,119.46799999999999,0.62,4
26fSgIa539TCK3KV76chHU,0.568,0.696,0.759,1.93e-06,0,0.13,-3.514,1,0.0289,77.505,0.696,4
1CBX2xGHlDeXiQ4oZ7mWgO,0.0974,0.445,0.368,4.11e-06,10,0.131,-6.028,0,0.0296,144.498,0.27899999999999997,3
0PgZO2KF47yBddD48hj9Rd,0.135,0.79,0.5479999999999999,1.4599999999999999e-05,0,0.308,-13.610999999999999,1,0.0406,91.947,0.9640000000000001,4
1WmwqbzoCeyEXKVGNjmslG,0.685,0.6709999999999999,0.33399999999999996,0.0,0,0.0694,-9.122,1,0.0299,110.899,0.573,4
2gSQUFK8G4Ie3Glf2D7NGR,0.175,0.257,0.61,0.0,10,0.5920000000000001,-9.548,1,0.0424,90.39399999999999,0.49200000000000005,3
5QXAMj4GVRUPOQVUNJjLJl,0.6579999999999999,0.7390000000000001,0.626,0.0,7,0.14,-7.666,1,0.0389,126.38799999999999,0.812,4
27pJ8qmetRJ9iFNNiSBeEE,0.703,0.546,0.698,0.0,6,0.29,-8.963,1,0.0512,126.897,0.703,4
0ZU5cyKKJYiykDWCTPK6kg,0.759,0.268,0.46299999999999997,3.26e-05,1,0.397,-9.499,1,0.0356,187.644,0.7490000000000001,3
5ebbHib7SPysvnSrcW7Prr,0.9159999999999999,0.276,0.44,0.000131,5,0.7140000000000001,-10.192,0,0.0377,178.676,0.63,3
