track_id,duration_ms,explicit,name,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0PZCGR88MUBkhbyF7Byzcj,120333,False,I'm Gonna Break Every Heart I Can,8,0.55,0.657,0.593,0.0,3,0.127,-10.254,1,0.0649,159.142,4,0.907
0BnYGvZHswZp2Rr5xLPCFG,173426,False,Swinging Doors - Down Every Road Version,9,0.464,0.737,0.435,3.08e-05,7,0.0936,-12.29,1,0.0357,120.544,4,0.66
1IoblMED1GAnd4IbFmOxr4,168866,False,The Bottle Let Me Down - Down Every Road Version,10,0.493,0.68,0.39,0.00876,9,0.122,-10.731,1,0.0315,125.84,4,0.695
0NaXkFyBpjurizxsfrr6AN,179240,False,High on a Hilltop,11,0.581,0.619,0.306,0.0,11,0.0938,-10.58,1,0.027,88.403,3,0.439
4VSI7eKvqh0ykql51Uo1vQ,130426,False,I'll Look Over You,12,0.675,0.653,0.419,0.0,2,0.116,-9.646,1,0.0329,109.038,4,0.606
6lJ9rTbacYs2JMeRNNYDAn,178666,False,The Fugitive,13,0.507,0.745,0.359,7.72e-06,6,0.0616,-13.386,1,0.0303,127.169,4,0.758
54jRgaIfvw8nvFOYFBcjkg,167866,False,House Of Memories,14,0.832,0.442,0.232,1.42e-06,2,0.0945,-11.584,1,0.0259,88.714,4,0.37
3ASlzfxHEyPsX4VLFfVzsl,161066,False,All Of Me Belongs To You,15,0.645,0.631,0.571,4.6e-06,0,0.24,-10.157,1,0.0352,78.313,4,0.836
6bqQgQ27lxg1v7ZWqnmBPl,177906,False,Mary's Mine,16,0.676,0.565,0.241,9.55e-06,0,0.376,-12.919,1,0.028,105.932,4,0.478
3i1B5gDGC8cDzHlveNfrjD,153733,False,Someone Told My Story,17,0.695,0.631,0.396,2.65e-06,9,0.258,-11.597,1,0.0298,130.172,4,0.644
7GuHemjwVP5oplKgRHuzfd,155426,False,Go Home,18,0.402,0.714,0.34,3.34e-06,7,0.23,-11.336,1,0.0317,78.949,3,0.456
21FLnZ4OVxfzOEWEJMvv37,178266,False,Whatever Happened To Me,19,0.574,0.654,0.288,9.86e-05,5,0.349,-12.371,1,0.0309,90.18,4,0.472
1jP1G9cGluz9bqocCg59LR,155573,False,Loneliness Is Eating Me Alive,20,0.47,0.622,0.24,0.0,4,0.157,-14.608,1,0.0282,84.215,4,0.458
06CB9dfCNVmwIsEOrmsLOw,201893,False,I Threw Away The Rose,21,0.516,0.48,0.216,0.000351,8,0.364,-12.309,1,0.0326,101.941,4,0.346
1iurFf8SradyoIBOOY1Ho5,187466,False,Branded Man,22,0.298,0.666,0.448,0.0,7,0.0804,-11.365,1,0.0318,120.957,4,0.482
6jWHXmqXwbwEc1PghFXojf,140266,False,You Don't Have Very Far To Go,23,0.565,0.71,0.365,0.0,0,0.25,-12.393,1,0.0288,110.462,4,0.637
3VSKuW7bkTXxGDvos6pU9i,186640,False,Somewhere Between,24,0.612,0.643,0.319,0.0,9,0.131,-11.52,1,0.0274,91.395,3,0.467
78bQFFxbIFd9e3pQ7td3Cg,169800,False,Sing Me Back Home,25,0.0403,0.646,0.387,0.0,9,0.175,-10.392,1,0.0332,109.839,4,0.565
